"","orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","parent_no","reference_no","is_extant","n_occs","phylum","class","order","family","genus","type_taxon","realm","is_ectinct"
"398",12284,12284,"txn",,"genus","Ptychogyra",12278,6930,"extinct",1,"Mollusca","Gastropoda","Basommatophora","NO_FAMILY_SPECIFIED","Ptychogyra","","non_marine",
"399",12288,12288,"txn",,"genus","Vasculum",12278,74377,"extinct",0,"Mollusca","Gastropoda","Basommatophora","NO_FAMILY_SPECIFIED","Vasculum","Vasculum obliquum","non_marine",
"400",135550,135550,"txn",,"genus","Discus",384102,1656,"extant",28,"Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Discidae","Discus","","non_marine",
"401",350837,350837,"txn",,"genus","Bernicia",62009,61821,"extinct",1,"Mollusca","Gastropoda","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Bernicia","","non_marine",
"402",152906,152906,"txn",,"genus","Onycholepisma",133899,48819,"extinct",1,"Arthropoda","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Onycholepisma","Onycholepisma arizonae","non_marine",
"403",350546,350546,"txn",,"genus","Leverhulmia",133899,61595,"extinct",1,"Arthropoda","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Leverhulmia","Leverhulmia mariae","non_marine",
"404",97210,97210,"txn","V","family","Mycetopodidae",244279,23742,"extant",8,"Mollusca","Bivalvia","Unionida","Mulleriidae",,,"non_marine",
"405",60289,60289,"txn","","family","Etheriidae",244278,7411,"extant",10,"Mollusca","Bivalvia","Unionida","Etheriidae",,,"non_marine",
"406",60693,60693,"txn","","family","Hyriidae",244287,7412,"extant",47,"Mollusca","Bivalvia","Unionida","Hyriidae",,,"non_marine",
"407",62301,62301,"txn","","family","Sphaeriidae",100781,7412,"extant",172,"Mollusca","Bivalvia","Sphaeriida","Sphaeriidae",,,"non_marine",
"408",59856,59856,"txn","","family","Corbiculidae",93449,7411,"extant",567,"Mollusca","Bivalvia","Venerida","Corbiculidae",,,"non_marine",
"409",60171,60171,"txn","","family","Dreissenidae",60170,7411,"extant",118,"Mollusca","Bivalvia","Venerida","Dreissenidae",,,"non_marine",
"410",60681,60681,"txn",,"family","Hydrocenidae",116261,7429,"extant",6,"Mollusca","Gastropoda","Cycloneritida","Hydrocenidae",,"Hydrocena","non_marine",
"411",60613,60613,"txn",,"family","Helicinidae",116305,7429,"extant",23,"Mollusca","Gastropoda","Cycloneritida","Helicinidae",,"Helicininae","non_marine",
"412",379202,379202,"txn",,"family","Helminthoglyptidae",8304,67430,"extant",13,"Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Helminthoglyptidae",,"","non_marine",
"413",62737,62737,"txn",,"family","Valvatidae",62738,7432,"extant",150,"Mollusca","Gastropoda","Heterostropha","Valvatidae",,"Valvata","non_marine",
"414",61804,61804,"txn",,"family","Planorbidae",114470,7412,"extant",668,"Mollusca","Gastropoda","Heterostropha","Planorbidae",,"","non_marine",
"415",83645,83645,"txn",,"family","Physidae",114470,18185,"extant",121,"Mollusca","Gastropoda","Heterostropha","Physidae",,"Physa","non_marine",
"416",312825,312825,"txn",,"family","Acroloxidae",312824,14945,"extant",2,"Mollusca","Gastropoda","Heterostropha","Acroloxidae",,"Acroloxus","non_marine",
"417",83640,83640,"txn",,"family","Lymnaeidae",83639,16545,"extant",256,"Mollusca","Gastropoda","Heterostropha","Lymnaeidae",,"","non_marine",
"418",264782,264782,"txn",,"family","Chilinidae",312822,46194,"extant",1,"Mollusca","Gastropoda","Heterostropha","Chilinidae",,"","non_marine",
"419",312823,312823,"txn",,"family","Latiidae",312822,14945,"extant",0,"Mollusca","Gastropoda","Heterostropha","Latiidae",,"","non_marine",
"420",518246,518246,"txn",,"family","Glacidorbidae",458635,81879,"extant",0,"Mollusca","Gastropoda","Heterostropha","Glacidorbidae",,"Glacidorbis","non_marine",
"421",60205,60205,"txn",,"family","Ellobiidae",94581,11867,"extant",71,"Mollusca","Gastropoda","Ellobiida","Ellobiidae",,"","non_marine",
"422",312872,312872,"txn",,"family","Veronicellidae",312871,14945,"extant",0,"Mollusca","Gastropoda","Systellommatophora","Veronicellidae",,"","non_marine",
"423",327487,327487,"txn",,"family","Parmacellidae",312885,56210,"extant",14,"Mollusca","Gastropoda","Stylommatophora","Parmacellidae",,"","non_marine",
"424",88836,88836,"txn",,"family","Milacidae",312885,9159,"extant",24,"Mollusca","Gastropoda","Stylommatophora","Milacidae",,"Milax","non_marine",
"425",162068,162068,"txn",,"family","Zonitidae",312886,31683,"extant",59,"Mollusca","Gastropoda","Stylommatophora","Zonitidae",,"Zonites","non_marine",
"426",327582,327582,"txn",,"family","Gastrodontidae",312891,56210,"extant",11,"Mollusca","Gastropoda","Stylommatophora","Gastrodontidae",,"","non_marine",
"427",475874,475874,"txn",,"family","Pristilomatidae",312891,81879,"extant",16,"Mollusca","Gastropoda","Stylommatophora","Pristilomatidae",,"Pristiloma","non_marine",
"428",387905,387905,"txn",,"family","Oxychilidae",312891,69177,"extant",26,"Mollusca","Gastropoda","Stylommatophora","Oxychilidae",,"Oxychilus","non_marine",
"429",114484,114484,"txn",,"family","Vitrinidae",114485,26209,"extant",14,"Mollusca","Gastropoda","Stylommatophora","Vitrinidae",,"","non_marine",
"430",327488,327488,"txn",,"family","Agriolimacidae",114485,56210,"extant",19,"Mollusca","Gastropoda","Stylommatophora","Agriolimacidae",,"","non_marine",
"431",114487,114487,"txn",,"family","Limacidae",114485,26209,"extant",51,"Mollusca","Gastropoda","Stylommatophora","Limacidae",,"Limax","non_marine",
"432",327882,327882,"txn",,"family","Filholiidae",327470,56235,"extinct",18,"Mollusca","Gastropoda","Stylommatophora","Filholiidae",,"","non_marine",
"433",327469,327469,"txn",,"family","Clausiliidae",327470,56210,"extant",101,"Mollusca","Gastropoda","Stylommatophora","Clausiliidae",,"","non_marine",
"434",509225,509225,"txn",,"family","Ariolimacidae",509219,63832,"extant",1,"Mollusca","Gastropoda","Stylommatophora","Ariolimacidae",,"","non_marine",
"435",327899,327899,"txn",,"family","Enidae",114480,56235,"extant",4,"Mollusca","Gastropoda","Stylommatophora","Enidae",,"Ena","non_marine",
"436",475998,475998,"txn",,"family","Chondrinidae",114480,81879,"extant",18,"Mollusca","Gastropoda","Stylommatophora","Chondrinidae",,"","non_marine",
"437",476102,476102,"txn",,"family","Pyramidulidae",114480,85569,"extant",6,"Mollusca","Gastropoda","Stylommatophora","Pyramidulidae",,"Pyramidula","non_marine",
"438",327589,327589,"txn",,"family","Argnidae",114480,56210,"extant",10,"Mollusca","Gastropoda","Stylommatophora","Argnidae",,"Argna","non_marine",
"439",312878,312878,"txn",,"family","Partulidae",114480,14945,"extant",0,"Mollusca","Gastropoda","Stylommatophora","Partulidae",,"","non_marine",
"440",475812,475812,"txn",,"family","Lauriidae",114480,85556,"extant",2,"Mollusca","Gastropoda","Stylommatophora","Lauriidae",,"","non_marine",
"441",312800,312800,"txn",,"family","Cochlicopidae",114480,54083,"extant",8,"Mollusca","Gastropoda","Stylommatophora","Cochlicopidae",,"","non_marine",
"442",324109,324109,"txn",,"family","Cerastidae",114480,55726,"extant",0,"Mollusca","Gastropoda","Stylommatophora","Cerastidae",,"","non_marine",
"443",475821,475821,"txn",,"family","Pleurodiscidae",114480,81879,"extant",2,"Mollusca","Gastropoda","Stylommatophora","Pleurodiscidae",,"","non_marine",
"444",327496,327496,"txn",,"family","Orculidae",114480,56210,"extant",6,"Mollusca","Gastropoda","Stylommatophora","Orculidae",,"","non_marine",
"445",333757,333757,"txn",,"family","Gastrocoptidae",114480,57438,"extant",70,"Mollusca","Gastropoda","Stylommatophora","Gastrocoptidae",,"Gastrocopta","non_marine",
"446",475805,475805,"txn",,"family","Azecidae",114480,85556,"extant",8,"Mollusca","Gastropoda","Stylommatophora","Azecidae",,"Azeca","non_marine",
"447",114482,114482,"txn",,"family","Strobilopsidae",114480,26209,"extant",22,"Mollusca","Gastropoda","Stylommatophora","Strobilopsidae",,"","non_marine",
"448",114479,114479,"txn",,"family","Valloniidae",114480,26209,"extant",59,"Mollusca","Gastropoda","Stylommatophora","Valloniidae",,"","non_marine",
"449",135556,135556,"txn",,"family","Pupillidae",114480,1656,"extant",23,"Mollusca","Gastropoda","Stylommatophora","Pupillidae",,"","non_marine",
"450",327506,327506,"txn",,"family","Vertiginidae",114480,56210,"extant",92,"Mollusca","Gastropoda","Stylommatophora","Vertiginidae",,"","non_marine",
"451",162065,162065,"txn",,"family","Succineidae",312850,31683,"extant",55,"Mollusca","Gastropoda","Stylommatophora","Succineidae",,"Succinea","non_marine",
"452",335520,335520,"txn",,"family","Plectopylidae",335521,57850,"extant",2,"Mollusca","Gastropoda","Stylommatophora","Plectopylidae",,"","non_marine",
"453",373112,373112,"txn",,"family","Oleacinidae",475543,17425,"extant",11,"Mollusca","Gastropoda","Stylommatophora","Oleacinidae",,"","non_marine",
"454",327981,327981,"txn",,"family","Trissexodontidae",113646,56235,"extant",4,"Mollusca","Gastropoda","Stylommatophora","Trissexodontidae",,"","non_marine",
"455",476169,476169,"txn",,"family","Geomitridae",113646,85581,"extant",9,"Mollusca","Gastropoda","Stylommatophora","Geomitridae",,"","non_marine",
"456",327966,327966,"txn",,"family","Helicodontidae",113646,56235,"extant",8,"Mollusca","Gastropoda","Stylommatophora","Helicodontidae",,"","non_marine",
"457",135058,135058,"txn",,"family","Pleurodontidae",113646,28338,"extant",3,"Mollusca","Gastropoda","Stylommatophora","Pleurodontidae",,"","non_marine",
"458",333755,333755,"txn",,"family","Camaenidae",113646,57438,"extant",32,"Mollusca","Gastropoda","Stylommatophora","Camaenidae",,"","non_marine",
"459",327921,327921,"txn",,"family","Elonidae",113646,56235,"extant",51,"Mollusca","Gastropoda","Stylommatophora","Elonidae",,"","non_marine",
"460",476175,476175,"txn",,"family","Sphincterochilidae",113646,85581,"extant",3,"Mollusca","Gastropoda","Stylommatophora","Sphincterochilidae",,"Sphincterochila","non_marine",
"461",94483,94483,"txn",,"family","Helicidae",113646,19913,"extant",184,"Mollusca","Gastropoda","Stylommatophora","Helicidae",,"","non_marine",
"462",514117,514117,"txn",,"family","Thysanophoridae",113646,63832,"extant",0,"Mollusca","Gastropoda","Stylommatophora","Thysanophoridae",,"","non_marine",
"463",113645,113645,"txn",,"family","Hygromiidae",113646,14945,"extant",34,"Mollusca","Gastropoda","Stylommatophora","Hygromiidae",,"","non_marine",
"464",251925,251925,"txn",,"family","Polygyridae",113646,40884,"extant",32,"Mollusca","Gastropoda","Stylommatophora","Polygyridae",,"","non_marine",
"465",509213,509213,"txn",,"family","Xanthonychidae",113646,63832,"extant",2,"Mollusca","Gastropoda","Stylommatophora","Xanthonychidae",,"","non_marine",
"466",324348,324348,"txn",,"family","Bulimulidae",264740,55769,"extant",28,"Mollusca","Gastropoda","Stylommatophora","Bulimulidae",,"","non_marine",
"467",264741,264741,"txn",,"family","Orthalicidae",264740,14945,"extant",2,"Mollusca","Gastropoda","Stylommatophora","Orthalicidae",,"Orthalicus","non_marine",
"468",387207,387207,"txn",,"family","Odontostomidae",264740,35328,"extant",5,"Mollusca","Gastropoda","Stylommatophora","Odontostomidae",,"","non_marine",
"469",333752,333752,"txn",,"family","Testacellidae",475525,57438,"extant",7,"Mollusca","Gastropoda","Stylommatophora","Testacellidae",,"","non_marine",
"470",514169,514169,"txn",,"family","Rhytididae",475524,63832,"extant",0,"Mollusca","Gastropoda","Stylommatophora","Rhytididae",,"","non_marine",
"471",135544,135544,"txn",,"family","Oreohelicidae",312893,1656,"extant",5,"Mollusca","Gastropoda","Stylommatophora","Oreohelicidae",,"Oreohelix","non_marine",
"472",327484,327484,"txn",,"family","Helicodiscidae",312893,56210,"extant",32,"Mollusca","Gastropoda","Stylommatophora","Helicodiscidae",,"","non_marine",
"473",387210,387210,"txn",,"family","Charopidae",312893,35328,"extant",13,"Mollusca","Gastropoda","Stylommatophora","Charopidae",,"","non_marine",
"474",135549,135549,"txn",,"family","Endodontidae",312893,1656,"extant",9,"Mollusca","Gastropoda","Stylommatophora","Endodontidae",,"","non_marine",
"475",333747,333747,"txn",,"family","Punctidae",312893,57438,"extant",7,"Mollusca","Gastropoda","Stylommatophora","Punctidae",,"Punctum","non_marine",
"476",387221,387221,"txn",,"family","Strophocheilidae",475533,35328,"extant",5,"Mollusca","Gastropoda","Stylommatophora","Strophocheilidae",,"","non_marine",
"477",502337,502337,"txn",,"family","Megomphicidae",475533,90539,"extant",4,"Mollusca","Gastropoda","Stylommatophora","Megomphicidae",,"","non_marine",
"478",448428,448428,"txn",,"family","Dorcasiidae",475533,79148,"extant",2,"Mollusca","Gastropoda","Stylommatophora","Dorcasiidae",,"Dorcasia","non_marine",
"479",66056,66056,"txn",,"family","Acavidae",475533,13638,"extant",3,"Mollusca","Gastropoda","Stylommatophora","Acavidae",,"","non_marine",
"480",514231,514231,"txn",,"family","Streptaxidae",514232,63832,"extant",0,"Mollusca","Gastropoda","Stylommatophora","Streptaxidae",,"","non_marine",
"481",324104,324104,"txn",,"family","Achatinidae",312887,55726,"extant",45,"Mollusca","Gastropoda","Stylommatophora","Achatinidae",,"","non_marine",
"482",88834,88834,"txn",,"family","Subulinidae",312887,9159,"extant",33,"Mollusca","Gastropoda","Stylommatophora","Subulinidae",,"","non_marine",
"483",327610,327610,"txn",,"family","Ferussaciidae",312887,56210,"extant",9,"Mollusca","Gastropoda","Stylommatophora","Ferussaciidae",,"","non_marine",
"484",58965,58965,"txn",,"family","Acochlidiidae",58966,7429,"",0,"Mollusca","Gastropoda","Acochlidea","Acochlidiidae",,"","non_marine",
"485",62020,62020,"txn",,"family","Pupinidae",59994,7429,"extant",14,"Mollusca","Gastropoda","Architaenioglossa","Pupinidae",,"Pupina","non_marine",
"486",119693,478550,"txn",,"family","Alycaeidae",59994,86298,"extant",2,"Mollusca","Gastropoda","Architaenioglossa","Alycaeidae",,"","non_marine",
"487",60140,60140,"txn",,"family","Diplommatinidae",59994,7429,"extant",24,"Mollusca","Gastropoda","Architaenioglossa","Diplommatinidae",,"Diplommatina","non_marine",
"488",59890,59890,"txn",,"family","Craspedopomatidae",59994,7432,"extant",11,"Mollusca","Gastropoda","Architaenioglossa","Craspedopomatidae",,"","non_marine",
"489",58942,120152,"txn",,"family","Aciculidae",59994,14945,"extant",34,"Mollusca","Gastropoda","Architaenioglossa","Aciculidae",,"","non_marine",
"490",61339,61339,"txn",,"family","Neocyclotidae",59994,7432,"extant",2,"Mollusca","Gastropoda","Architaenioglossa","Neocyclotidae",,"Neocyclotus","non_marine",
"491",119691,119691,"txn",,"family","Maizaniidae",59994,14945,"extant",7,"Mollusca","Gastropoda","Architaenioglossa","Maizaniidae",,"Maizania","non_marine",
"492",119696,119696,"txn",,"family","Megalomastomatidae",59994,14945,"extant",0,"Mollusca","Gastropoda","Architaenioglossa","Megalomastomatidae",,"Megalomastoma","non_marine",
"493",59993,59993,"txn",,"family","Cyclophoridae",59994,7429,"extant",40,"Mollusca","Gastropoda","Architaenioglossa","Cyclophoridae",,"Cyclophorus","non_marine",
"494",119688,119688,"txn",,"family","Ferussinidae",59994,14945,"extinct",1,"Mollusca","Gastropoda","Architaenioglossa","Ferussinidae",,"Strophostoma","non_marine",
"495",59048,59048,"txn",,"family","Ampullariidae",59049,7432,"extant",157,"Mollusca","Gastropoda","Architaenioglossa","Ampullariidae",,"","non_marine",
"496",62825,62825,"txn",,"family","Viviparidae",118595,7429,"extant",355,"Mollusca","Gastropoda","Architaenioglossa","Viviparidae",,"","non_marine",
"497",61886,61886,"txn",,"family","Pomatiopsidae",62617,7429,"extant",40,"Mollusca","Gastropoda","Sorbeoconcha","Pomatiopsidae",,"","non_marine",
"498",119152,119152,"txn",,"family","Amnicolidae",62617,14173,"extant",37,"Mollusca","Gastropoda","Sorbeoconcha","Amnicolidae",,"Amnicola","non_marine",
"499",121006,121006,"txn",,"family","Moitessieriidae",62144,14945,"extant",0,"Mollusca","Gastropoda","Sorbeoconcha","Moitessieriidae",,"","non_marine",
"500",120993,120993,"txn",,"family","Helicostoidae",62144,14945,"extant",0,"Mollusca","Gastropoda","Sorbeoconcha","Helicostoidae",,"","non_marine",
"501",264497,264497,"txn",,"family","Cochliopidae",62144,14945,"extant",171,"Mollusca","Gastropoda","Sorbeoconcha","Cochliopidae",,"","non_marine",
"502",59384,59384,"txn",,"family","Bithyniidae",62144,7429,"extant",87,"Mollusca","Gastropoda","Sorbeoconcha","Bithyniidae",,"","non_marine",
"503",121002,121002,"txn",,"family","Lithoglyphidae",62144,14945,"extant",6,"Mollusca","Gastropoda","Sorbeoconcha","Lithoglyphidae",,"","non_marine",
"504",120958,120958,"txn",,"family","Pomatiidae",60938,7432,"extant",38,"Mollusca","Gastropoda","Sorbeoconcha","Pomatiidae",,"","non_marine",
"505",458654,458655,"txn",,"family","Semisulcospiridae",59623,81879,"extinct",0,"Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Semisulcospiridae",,"","non_marine",
"506",120621,120621,"txn",,"family","Pleuroceridae",59623,14945,"extant",51,"Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Pleuroceridae",,"","non_marine",
"507",62518,62518,"txn",,"family","Thiaridae",59623,7429,"extant",494,"Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Thiaridae",,"","non_marine",
"508",61552,61552,"txn",,"family","Pachychilidae",59623,7432,"extant",154,"Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Pachychilidae",,"","non_marine",
"509",61085,120373,"txn",,"family","Melanopsidae",59623,14915,"extant",294,"Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Melanopsidae",,"","non_marine",
"510",120623,120623,"txn",,"family","Paludomidae",59623,14945,"extant",10,"Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Paludomidae",,"","non_marine",
"511",384102,384102,"txn",,"family","Discidae",62009,68358,"extant",28,"Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Discidae",,"Discus","non_marine",
"512",,,,,"genus","Camptophyllia",,,,,"Arthropoda","incertae sedis",,,"Camptophyllia",,"non_marine","extinct"
"513",,,,,"family","Haplotrematidae",,,,,"Mollusca","Gastropoda","Stylommatophora","Haplotrematidae",,,"non_marine","extant"
"514",,,,,"family","Euconulidae",,,,,"Mollusca","Gastropoda","Stylommatophora","Euconulidae",,,"non_marine","extant"
"515",,,,,"family","Megaspiridae",,,,,"Mollusca","Gastropoda","Stylommatophora","Megaspiridae",,,"non_marine","extant"
"516",,,,,"family","Bothriembryontidae",,,,,"Mollusca","Gastropoda","Stylommatophora","Bothriembryontidae",,,"non_marine","extant"
"517",,,,,"family","Sculptariidae",,,,,"Mollusca","Gastropoda","Stylommatophora","Sculptariidae",,,"non_marine","extant"
"518",,,,,"family","Micractaeonidae",,,,,"Mollusca","Gastropoda","Stylommatophora","Micractaeonidae",,,"non_marine","extant"
"519",,,,,"family","Helicarionidae",,,,,"Mollusca","Gastropoda","Stylommatophora","Helicarionidae",,,"non_marine","extant"
"520",,,,,"family","Staffordiidae",,,,,"Mollusca","Gastropoda","Stylommatophora","Staffordiidae",,,"non_marine","extant"
"521",,,,,"family","Tantulidae",,,,,"Mollusca","Gastropoda",,"Tantulidae",,,"non_marine","extant"
"522",,,,,"family","Scolodontidae",,,,,"Mollusca","Gastropoda","Stylommatophora","Scolodontidae",,,"non_marine","extant"
"523",,,,,"genus","Cremnoconchus",,,,,"Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Cremnoconchus",,"non_marine","extant"
"524",,,,,"genus","Clea",,,,,"Mollusca","Gastropoda","Neogastropoda","Nassariidae","Clea",,"non_marine","extant"
"525",,,,,"genus","Rivomarginella",,,,,"Mollusca","Gastropoda","Neogastropoda","Marginellidae","Rivomarginella",,"non_marine","extant"
"526",,,,,"genus","Urnatella",,,,,"Entoprocta",,,"Barentsiidae","Urnatella",,"non_marine","extant"
